C:\Users\JayphoneLin\anaconda3\envs\pytorch_study\python.exe C:/Users/JayphoneLin/Desktop/GAN-INTRO/GAN-Generate-fake-MNIST.py
Epoch [41/200], Step [600/600], d_loss: 0.4122, g_loss: 2.7662, D(x): 0.85, D(G(z)): 0.08
Epoch [42/200], Step [200/600], d_loss: 0.4078, g_loss: 3.5120, D(x): 0.85, D(G(z)): 0.12
Epoch [42/200], Step [400/600], d_loss: 0.2903, g_loss: 3.9507, D(x): 0.89, D(G(z)): 0.08
Epoch [42/200], Step [600/600], d_loss: 0.5019, g_loss: 4.2781, D(x): 0.84, D(G(z)): 0.07
Epoch [43/200], Step [200/600], d_loss: 0.3974, g_loss: 3.2725, D(x): 0.89, D(G(z)): 0.14
Epoch [43/200], Step [400/600], d_loss: 0.4218, g_loss: 4.4012, D(x): 0.82, D(G(z)): 0.07
Epoch [43/200], Step [600/600], d_loss: 0.6104, g_loss: 2.0534, D(x): 0.87, D(G(z)): 0.22
Epoch [44/200], Step [200/600], d_loss: 0.5020, g_loss: 3.6935, D(x): 0.82, D(G(z)): 0.09
Epoch [44/200], Step [400/600], d_loss: 0.3510, g_loss: 2.6314, D(x): 0.89, D(G(z)): 0.13
Epoch [44/200], Step [600/600], d_loss: 0.3426, g_loss: 3.0979, D(x): 0.86, D(G(z)): 0.08
Epoch [45/200], Step [200/600], d_loss: 0.4329, g_loss: 3.3389, D(x): 0.84, D(G(z)): 0.11
Epoch [45/200], Step [400/600], d_loss: 0.6179, g_loss: 2.7986, D(x): 0.87, D(G(z)): 0.27
Epoch [45/200], Step [600/600], d_loss: 0.6802, g_loss: 2.6251, D(x): 0.80, D(G(z)): 0.19
Epoch [46/200], Step [200/600], d_loss: 0.2955, g_loss: 3.4944, D(x): 0.89, D(G(z)): 0.10
Epoch [46/200], Step [400/600], d_loss: 0.7624, g_loss: 2.5258, D(x): 0.74, D(G(z)): 0.07
Epoch [46/200], Step [600/600], d_loss: 0.5050, g_loss: 3.0954, D(x): 0.79, D(G(z)): 0.05
Epoch [47/200], Step [200/600], d_loss: 0.4981, g_loss: 3.0963, D(x): 0.80, D(G(z)): 0.11
Epoch [47/200], Step [400/600], d_loss: 0.5763, g_loss: 3.7929, D(x): 0.76, D(G(z)): 0.07
Epoch [47/200], Step [600/600], d_loss: 0.4075, g_loss: 3.6204, D(x): 0.85, D(G(z)): 0.12
Epoch [48/200], Step [200/600], d_loss: 0.5489, g_loss: 2.5774, D(x): 0.82, D(G(z)): 0.14
Epoch [48/200], Step [400/600], d_loss: 0.4641, g_loss: 3.2492, D(x): 0.80, D(G(z)): 0.10
Epoch [48/200], Step [600/600], d_loss: 0.5201, g_loss: 2.7996, D(x): 0.92, D(G(z)): 0.29
Epoch [49/200], Step [200/600], d_loss: 0.5979, g_loss: 2.4779, D(x): 0.88, D(G(z)): 0.26
Epoch [49/200], Step [400/600], d_loss: 0.4658, g_loss: 3.0559, D(x): 0.83, D(G(z)): 0.12
Epoch [49/200], Step [600/600], d_loss: 0.6074, g_loss: 2.5135, D(x): 0.83, D(G(z)): 0.18
Epoch [50/200], Step [200/600], d_loss: 0.3840, g_loss: 1.9173, D(x): 0.90, D(G(z)): 0.15
Epoch [50/200], Step [400/600], d_loss: 0.2302, g_loss: 3.2046, D(x): 0.92, D(G(z)): 0.08
Epoch [50/200], Step [600/600], d_loss: 0.2564, g_loss: 4.6899, D(x): 0.89, D(G(z)): 0.07
Epoch [51/200], Step [200/600], d_loss: 0.4223, g_loss: 2.3859, D(x): 0.83, D(G(z)): 0.12
Epoch [51/200], Step [400/600], d_loss: 0.5020, g_loss: 3.6964, D(x): 0.93, D(G(z)): 0.22
Epoch [51/200], Step [600/600], d_loss: 0.4241, g_loss: 2.5177, D(x): 0.90, D(G(z)): 0.18
Epoch [52/200], Step [200/600], d_loss: 0.4371, g_loss: 2.9997, D(x): 0.88, D(G(z)): 0.20
Epoch [52/200], Step [400/600], d_loss: 0.4437, g_loss: 4.5052, D(x): 0.85, D(G(z)): 0.11
Epoch [52/200], Step [600/600], d_loss: 0.4289, g_loss: 3.2050, D(x): 0.84, D(G(z)): 0.12
Epoch [53/200], Step [200/600], d_loss: 0.6260, g_loss: 3.0174, D(x): 0.77, D(G(z)): 0.12
Epoch [53/200], Step [400/600], d_loss: 0.3960, g_loss: 3.1379, D(x): 0.86, D(G(z)): 0.12
Epoch [53/200], Step [600/600], d_loss: 0.3954, g_loss: 3.4972, D(x): 0.82, D(G(z)): 0.06
Epoch [54/200], Step [200/600], d_loss: 0.4277, g_loss: 2.6059, D(x): 0.89, D(G(z)): 0.16
Epoch [54/200], Step [400/600], d_loss: 0.4662, g_loss: 3.2834, D(x): 0.85, D(G(z)): 0.15
Epoch [54/200], Step [600/600], d_loss: 0.4614, g_loss: 2.2024, D(x): 0.87, D(G(z)): 0.19
Epoch [55/200], Step [200/600], d_loss: 0.7126, g_loss: 3.2623, D(x): 0.77, D(G(z)): 0.15
Epoch [55/200], Step [400/600], d_loss: 0.4899, g_loss: 3.3340, D(x): 0.82, D(G(z)): 0.14
Epoch [55/200], Step [600/600], d_loss: 0.5002, g_loss: 2.0148, D(x): 0.84, D(G(z)): 0.17
Epoch [56/200], Step [200/600], d_loss: 0.4612, g_loss: 2.3732, D(x): 0.85, D(G(z)): 0.15
Epoch [56/200], Step [400/600], d_loss: 0.5696, g_loss: 1.7954, D(x): 0.85, D(G(z)): 0.23
Epoch [56/200], Step [600/600], d_loss: 0.4318, g_loss: 2.9945, D(x): 0.83, D(G(z)): 0.13
Epoch [57/200], Step [200/600], d_loss: 0.6900, g_loss: 2.8266, D(x): 0.81, D(G(z)): 0.19
Epoch [57/200], Step [400/600], d_loss: 0.5413, g_loss: 2.6387, D(x): 0.83, D(G(z)): 0.18
Epoch [57/200], Step [600/600], d_loss: 0.6882, g_loss: 2.2902, D(x): 0.88, D(G(z)): 0.33
Epoch [58/200], Step [200/600], d_loss: 0.5880, g_loss: 2.2635, D(x): 0.80, D(G(z)): 0.17
Epoch [58/200], Step [400/600], d_loss: 0.6777, g_loss: 2.8213, D(x): 0.80, D(G(z)): 0.22
Epoch [58/200], Step [600/600], d_loss: 0.6716, g_loss: 2.4778, D(x): 0.78, D(G(z)): 0.22
Epoch [59/200], Step [200/600], d_loss: 0.6548, g_loss: 2.0383, D(x): 0.78, D(G(z)): 0.16
Epoch [59/200], Step [400/600], d_loss: 0.5737, g_loss: 2.6674, D(x): 0.77, D(G(z)): 0.13
Epoch [59/200], Step [600/600], d_loss: 0.6497, g_loss: 2.7733, D(x): 0.76, D(G(z)): 0.17
Epoch [60/200], Step [200/600], d_loss: 0.6727, g_loss: 2.7332, D(x): 0.73, D(G(z)): 0.10
Epoch [60/200], Step [400/600], d_loss: 0.6732, g_loss: 1.8112, D(x): 0.82, D(G(z)): 0.24
Epoch [60/200], Step [600/600], d_loss: 0.5429, g_loss: 2.2483, D(x): 0.79, D(G(z)): 0.14
Epoch [61/200], Step [200/600], d_loss: 0.8858, g_loss: 2.3865, D(x): 0.67, D(G(z)): 0.12
Epoch [61/200], Step [400/600], d_loss: 0.5150, g_loss: 2.5087, D(x): 0.81, D(G(z)): 0.13
Epoch [61/200], Step [600/600], d_loss: 0.5324, g_loss: 2.6085, D(x): 0.80, D(G(z)): 0.17
Epoch [62/200], Step [200/600], d_loss: 0.5356, g_loss: 2.4611, D(x): 0.77, D(G(z)): 0.14
Epoch [62/200], Step [400/600], d_loss: 0.4421, g_loss: 2.2233, D(x): 0.88, D(G(z)): 0.18
Epoch [62/200], Step [600/600], d_loss: 0.4084, g_loss: 3.1779, D(x): 0.84, D(G(z)): 0.14
Epoch [63/200], Step [200/600], d_loss: 0.7754, g_loss: 2.1523, D(x): 0.87, D(G(z)): 0.34
Epoch [63/200], Step [400/600], d_loss: 0.4801, g_loss: 2.8658, D(x): 0.87, D(G(z)): 0.22
Epoch [63/200], Step [600/600], d_loss: 0.6900, g_loss: 2.6280, D(x): 0.80, D(G(z)): 0.23
Epoch [64/200], Step [200/600], d_loss: 0.5760, g_loss: 2.5080, D(x): 0.80, D(G(z)): 0.18
Epoch [64/200], Step [400/600], d_loss: 0.5794, g_loss: 2.2998, D(x): 0.87, D(G(z)): 0.24
Epoch [64/200], Step [600/600], d_loss: 0.6541, g_loss: 2.5874, D(x): 0.81, D(G(z)): 0.25
Epoch [65/200], Step [200/600], d_loss: 0.5901, g_loss: 2.6073, D(x): 0.77, D(G(z)): 0.14
Epoch [65/200], Step [400/600], d_loss: 0.4840, g_loss: 2.7314, D(x): 0.86, D(G(z)): 0.21
Epoch [65/200], Step [600/600], d_loss: 0.5514, g_loss: 2.5082, D(x): 0.80, D(G(z)): 0.17
Epoch [66/200], Step [200/600], d_loss: 0.5713, g_loss: 2.4891, D(x): 0.80, D(G(z)): 0.17
Epoch [66/200], Step [400/600], d_loss: 0.4642, g_loss: 2.9000, D(x): 0.84, D(G(z)): 0.18
Epoch [66/200], Step [600/600], d_loss: 0.8107, g_loss: 1.6999, D(x): 0.79, D(G(z)): 0.32
